,Province/State,Country/Region,Lat,Long,1/24/2022,1/25/2022,1/26/2022,1/27/2022,1/28/2022,1/29/2022,1/30/2022,1/31/2022,2/1/2022,2/2/2022
248,,Thailand,15.870032,100.992541,2391357,2398944,2407022,2415472,2424090,2424090,2440542,2447964,2456551,2465723
249,,Timor-Leste,-8.874217,125.727539,19869,19871,19879,19894,19894,19908,19908,19946,20105,20136
250,,Togo,8.6195,0.8248,36323,36372,36421,36452,36469,36469,36491,36491,36509,36538
251,,Tonga,-21.179,-175.1982,1,1,1,1,1,1,1,1,1,5
252,,Trinidad and Tobago,10.6918,-61.2225,106806,107408,108088,108892,109660,110741,111190,111549,112019,112679
253,,Tunisia,33.886917,9.537499,853905,856739,866445,876245,884588,901107,901107,909813,917814,917814
254,,Turkey,38.9637,35.2433,11014152,11090493,11167927,11250107,11343693,11438476,11526621,11619882,11722483,11833165
255,,US,40,-100,71783483,72333439,72980648,73465396,74063641,74232238,74424305,74951445,75350359,75680487
256,,Uganda,1.373333,32.290275,160572,160778,160974,161259,161421,161503,161693,161839,161929,162007
257,,Ukraine,48.3794,31.1656,4055643,4075351,4100292,4133396,4168560,4206731,4232143,4255206,4287117,4323009
258,,United Arab Emirates,23.424076,53.847818,828328,830832,833201,835839,838384,840739,843030,845058,847142,849305
259,Anguilla,United Kingdom,18.2206,-63.0686,2187,2270,2270,2270,2324,2324,2324,2324,2361,2361
260,Bermuda,United Kingdom,32.3078,-64.7505,10262,10262,10262,10552,10552,10552,10552,10793,10793,10793
261,British Virgin Islands,United Kingdom,18.4207,-64.64,5649,5809,5809,5809,5839,5839,5839,5875,5875,5875
262,Cayman Islands,United Kingdom,19.3133,-81.2546,13734,13734,13734,13734,13788,13788,13788,13788,13788,13788
263,Channel Islands,United Kingdom,49.3723,-2.3644,39152,39628,40101,40543,40947,40947,40947,42052,42467,43032
264,Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,86,86,86,89,89,89,89,89,89,89
265,Gibraltar,United Kingdom,36.1408,-5.3536,11937,12103,12277,12441,12610,12752,12848,12950,13085,13243
266,Isle of Man,United Kingdom,54.2361,-4.5481,20586,21112,21200,21292,21376,21460,21460,21567,21665,21745
267,Montserrat,United Kingdom,16.742498,-62.187366,158,161,161,161,162,163,163,163,163,163
268,"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,-7.9467,-14.3559,4,4,4,4,4,4,4,4,4,4
